nohup: ignoring input

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

nohup: ignoring input

   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2026-01-22 18:35:44 / .......................................... ~ 500.46ms
  2026-01-22 18:35:44 /favicon.ico ............................... ~ 501.19ms
  2026-01-22 18:35:53 /login ....................................... ~ 0.09ms
  2026-01-22 18:35:53 /build/assets/app-BWu6kgCF.css ............... ~ 0.03ms
  2026-01-22 18:35:53 /build/assets/app-BR77_l1h.js ................ ~ 0.03ms
  2026-01-22 18:35:53 /images/login.png .......................... ~ 500.50ms
  2026-01-22 18:35:54 /favicon.ico ................................. ~ 0.06ms
  2026-01-22 18:35:56 /login ....................................... ~ 0.08ms
  2026-01-22 18:35:56 /build/assets/app-BWu6kgCF.css ............... ~ 0.03ms
  2026-01-22 18:35:56 /build/assets/app-BR77_l1h.js ................ ~ 0.03ms
  2026-01-22 18:35:56 /images/login.png ............................ ~ 0.14ms
  2026-01-22 18:35:56 /favicon.ico ................................. ~ 0.12ms
nohup: ignoring input

   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2026-01-22 18:41:29 / .......................................... ~ 500.33ms
  2026-01-22 18:41:29 /favicon.ico ............................... ~ 500.75ms
  2026-01-22 18:41:42 / ............................................ ~ 0.11ms
  2026-01-22 18:41:42 /images/atendenteico.png ..................... ~ 0.43ms
  2026-01-22 18:41:43 /favicon.ico ................................. ~ 0.19ms
  2026-01-22 18:41:47 / ............................................ ~ 0.18ms
  2026-01-22 18:41:47 /images/atendenteico.png ..................... ~ 2.67ms
  2026-01-22 18:41:47 /favicon.ico ................................. ~ 0.03ms
  2026-01-22 18:41:48 / ............................................ ~ 0.07ms
  2026-01-22 18:41:48 /images/atendenteico.png ..................... ~ 0.36ms
  2026-01-22 18:41:48 /favicon.ico ................................. ~ 0.08ms
  2026-01-22 18:41:48 / ............................................ ~ 0.03ms
  2026-01-22 18:41:48 /images/atendenteico.png ..................... ~ 0.29ms
  2026-01-22 18:41:48 /favicon.ico ................................. ~ 0.02ms
  2026-01-22 18:41:49 / ............................................ ~ 0.03ms
  2026-01-22 18:41:49 /images/atendenteico.png ..................... ~ 0.26ms
  2026-01-22 18:41:49 /favicon.ico ................................. ~ 0.02ms
  2026-01-22 18:46:04 /login ....................................... ~ 0.25ms
  2026-01-22 18:46:04 /images/login.png ............................ ~ 0.03ms
  2026-01-22 18:46:04 /favicon.ico ................................. ~ 0.15ms
  2026-01-22 18:46:21 /login ....................................... ~ 0.08ms
  2026-01-22 18:46:21 /images/login.png ............................ ~ 0.03ms
  2026-01-22 18:46:22 /favicon.ico ................................. ~ 0.02ms
  2026-01-22 18:46:22 /login ....................................... ~ 0.13ms
  2026-01-22 18:46:22 /images/login.png ............................ ~ 0.04ms
  2026-01-22 18:46:23 /favicon.ico ................................. ~ 0.03ms
  2026-01-22 18:49:25 / ............................................ ~ 0.09ms
  2026-01-22 18:49:25 /images/atendenteico.png ..................... ~ 0.37ms
  2026-01-22 18:49:25 /favicon.ico ................................. ~ 0.03ms
  2026-01-22 19:00:04 /home ........................................ ~ 0.09ms
  2026-01-22 19:00:04 /images/triagemico.png ....................... ~ 0.37ms
  2026-01-22 19:00:04 /images/atendenteico.png ..................... ~ 0.19ms
  2026-01-22 19:00:04 /images/graficoico.png ....................... ~ 0.03ms
  2026-01-22 19:00:04 /images/painel.png ........................... ~ 0.17ms
  2026-01-22 19:00:04 /favicon.ico ................................. ~ 0.03ms
  2026-01-22 19:01:19 /home ........................................ ~ 0.09ms
  2026-01-22 19:01:19 /images/triagemico.png ....................... ~ 0.38ms
  2026-01-22 19:01:19 /images/atendenteico.png ..................... ~ 0.21ms
  2026-01-22 19:01:19 /images/graficoico.png ....................... ~ 0.03ms
  2026-01-22 19:01:19 /images/painel.png ........................... ~ 0.17ms
